Maasijam MCVGO BOM v001,,
,,
Name,Quantity,Link
"DA 10MM Spacers, metal, 6-edge, M3",4,https://www.reichelt.de/distanzhuelsen-metall-6-kant-m3-10mm-da-10mm-p7017.html?&trstct=pol_12&nbc=1
"DI 12MM Spacers, metal, 6-edge, M3",4,https://www.reichelt.de/distanzhuelsen-metall-6-kant-m3-12mm-di-12mm-p44769.html?&trstct=pol_27&nbc=1
Screws M3 6mm,8,
Jack 3.5mm Thonkiconn Mono PCB,16,https://www.thonk.co.uk/shop/thonkiconn/
LED 3mm orange,3,
LED 3mm red,8,
Red Push Button Befaco,1,https://www.thonk.co.uk/shop/befaco-parts/
74HC4051 Multiplexer,1,
MCP4822 12bit dual dac,4,
Teensy LC,1,
IC socket 16 Pin,1,
IC socket 8 Pin,4,
R1K 1%,24,
R220 5%,3,
Header Connector 2.54 mm,,https://www.amazon.de/gp/product/B01M69EA9O/
"USB BW USB panel socket, series B",1,https://www.reichelt.de/usb-panel-socket-series-b-angled-pcb-assembly-usb-bw-p22186.html?
"Bumper, self-adhesive, Ø 12,7 mm, black",4,https://www.reichelt.de/bumper-self-adhesive-12-7-mm-black-rnd-455-00508-p211687.html?
